,code,name
0,A005930,삼성전자
0,A000660,SK하이닉스
0,A035420,NAVER
0,A005935,삼성전자우
0,A051910,LG화학
0,A207940,삼성바이오로직스
0,A005380,현대차
0,A035720,카카오
0,A006400,삼성SDI
0,A068270,셀트리온
0,A000270,기아
0,A005490,POSCO
0,A012330,현대모비스
0,A066570,LG전자
0,A051900,LG생활건강
0,A028260,삼성물산
0,A017670,SK텔레콤
0,A105560,KB금융
0,A096770,SK이노베이션
0,A034730,SK
0,A055550,신한지주
0,A036570,엔씨소프트
0,A003550,LG
0,A032830,삼성생명
0,A015760,한국전력
0,A090430,아모레퍼시픽
0,A018260,삼성에스디에스
0,A009150,삼성전기
0,A003670,포스코케미칼
0,A086790,하나금융지주
0,A251270,넷마블
0,A033780,KT&G
0,A011170,롯데케미칼
0,A011200,HMM
0,A018880,한온시스템
0,A003490,대한항공
0,A034220,LG디스플레이
0,A352820,빅히트
0,A009540,한국조선해양
0,A009830,한화솔루션
0,A010950,S-Oil
0,A000810,삼성화재
0,A302440,SK바이오사이언스
0,A326030,SK바이오팜
0,A010130,고려아연
0,A011780,금호석유
0,A030200,KT
0,A316140,우리금융지주
0,A086280,현대글로비스
0,A024110,기업은행
0,A004020,현대제철
0,A006800,미래에셋증권
0,A097950,CJ제일제당
0,A161390,한국타이어앤테크놀로지
0,A032640,LG유플러스
0,A035250,강원랜드
0,A002790,아모레G
0,A271560,오리온
0,A071050,한국금융지주
0,A011070,LG이노텍
0,A069500,KODEX 200
0,A000720,현대건설
0,A011790,SKC
0,A034020,두산중공업
0,A021240,코웨이
0,A139480,이마트
0,A010140,삼성중공업
0,A267250,현대중공업지주
0,A019170,신풍제약
0,A088980,맥쿼리인프라
0,A000100,유한양행
0,A000120,CJ대한통운
0,A241560,두산밥캣
0,A029780,삼성카드
0,A005387,현대차2우B
0,A008930,한미사이언스
0,A006280,녹십자
0,A128940,한미약품
0,A003410,쌍용양회
0,A023530,롯데쇼핑
0,A016360,삼성증권
0,A047810,한국항공우주
0,A006360,GS건설
0,A078930,GS
0,A039490,키움증권
0,A004990,롯데지주
0,A008770,호텔신라
0,A180640,한진칼
0,A028670,팬오션
0,A020150,일진머티리얼즈
0,A005830,DB손해보험
0,A005940,NH투자증권
0,A336260,두산퓨얼셀
0,A026960,동서
0,A012750,에스원
0,A112610,씨에스윈드
0,A204320,만도
0,A036460,한국가스공사
0,A042660,대우조선해양
0,A008560,메리츠증권
0,A051915,LG화학우
0,A285130,SK케미칼
0,A014680,한솔케미칼
0,A007070,GS리테일
0,A004170,신세계
0,A282330,BGF리테일
0,A010060,OCI
0,A009240,한샘
0,A012510,더존비즈온
0,A088350,한화생명
0,A028050,삼성엔지니어링
0,A001040,CJ
0,A047040,대우건설
0,A010620,현대미포조선
0,A005385,현대차우
0,A081660,휠라홀딩스
0,A000080,하이트진로
0,A000990,DB하이텍
0,A307950,현대오토에버
0,A047050,포스코인터내셔널
0,A030000,제일기획
0,A298020,효성티앤씨
0,A102110,TIGER 200
0,A375500,DL이앤씨
0,A272210,한화시스템
0,A000880,한화
0,A000060,메리츠화재
0,A042670,두산인프라코어
0,A002380,KCC
0,A064350,현대로템
0,A011210,현대위아
0,A138930,BNK금융지주
0,A007700,F&F
0,A138040,메리츠금융지주
0,A252670,KODEX 200선물인버스2X
0,A069960,현대백화점
0,A001450,현대해상
0,A006260,LS
0,A007310,오뚜기
0,A012450,한화에어로스페이스
0,A153130,KODEX 단기채권
0,A294870,HDC현대산업개발
0,A006650,대한유화
0,A017800,현대엘리베이
0,A102780,KODEX 삼성그룹
0,A004800,효성
0,A010120,LS ELECTRIC
0,A003090,대웅
0,A298050,효성첨단소재
0,A122630,KODEX 레버리지
